,winnerScore,loserScore,round,ct_tBuyRatio,ctWin,ct_startScore,ct_equipmentValue,ct_mapControl,ct_buy,ct_player_kpr,ct_player_dpr,ct_player_adr,ct_player_kast,ct_player_rating,ct_player_impact,ct_player_utility,t_startScore,t_equipmentValue,t_mapControl,t_buy,t_player_kpr,t_player_dpr,t_player_adr,t_player_kast,t_player_rating,t_player_impact,t_player_utility
79,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,0.0,0.0,-0.47,0.0,1.115,3.0,26000.0,1.1612306440346258,1.0,1.0,0.5,127.8,100.0,1.82,1.45,-0.25
80,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,52.5,0.0,-0.3,0.0,-0.25,3.0,26000.0,1.1612306440346258,1.0,1.25,0.0,95.0,100.0,2.18,1.25,1.288125
81,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,52.5,0.0,-0.3,0.0,-0.25,3.0,26000.0,1.1612306440346258,1.0,0.5,0.25,43.2,75.0,1.05,0.1,0.2310416666666667
82,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,52.5,0.0,-0.3,0.0,-0.25,3.0,26000.0,1.1612306440346258,1.0,1.75,0.0,156.0,100.0,2.83,1.6,0.6043750000000001
83,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,52.5,0.0,-0.3,0.0,-0.25,3.0,26000.0,1.1612306440346258,1.0,0.0,0.25,30.8,100.0,0.78,0.25,1.56
84,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,52.5,0.0,-0.3,0.0,-0.25,3.0,26000.0,1.1612306440346258,1.0,1.0,0.5,127.8,100.0,1.82,1.45,-0.25
85,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,17.8,0.0,-0.41,0.0,0.04312499999999997,3.0,26000.0,1.1612306440346258,1.0,1.25,0.0,95.0,100.0,2.18,1.25,1.288125
86,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,17.8,0.0,-0.41,0.0,0.04312499999999997,3.0,26000.0,1.1612306440346258,1.0,0.5,0.25,43.2,75.0,1.05,0.1,0.2310416666666667
87,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,17.8,0.0,-0.41,0.0,0.04312499999999997,3.0,26000.0,1.1612306440346258,1.0,1.75,0.0,156.0,100.0,2.83,1.6,0.6043750000000001
88,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,17.8,0.0,-0.41,0.0,0.04312499999999997,3.0,26000.0,1.1612306440346258,1.0,0.0,0.25,30.8,100.0,0.78,0.25,1.56
89,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.0,1.0,17.8,0.0,-0.41,0.0,0.04312499999999997,3.0,26000.0,1.1612306440346258,1.0,1.0,0.5,127.8,100.0,1.82,1.45,-0.25
90,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.25,1.0,56.8,50.0,0.32,0.3,-0.25,3.0,26000.0,1.1612306440346258,1.0,1.25,0.0,95.0,100.0,2.18,1.25,1.288125
91,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.25,1.0,56.8,50.0,0.32,0.3,-0.25,3.0,26000.0,1.1612306440346258,1.0,0.5,0.25,43.2,75.0,1.05,0.1,0.2310416666666667
92,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.25,1.0,56.8,50.0,0.32,0.3,-0.25,3.0,26000.0,1.1612306440346258,1.0,1.75,0.0,156.0,100.0,2.83,1.6,0.6043750000000001
93,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.25,1.0,56.8,50.0,0.32,0.3,-0.25,3.0,26000.0,1.1612306440346258,1.0,0.0,0.25,30.8,100.0,0.78,0.25,1.56
94,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.25,1.0,56.8,50.0,0.32,0.3,-0.25,3.0,26000.0,1.1612306440346258,1.0,1.0,0.5,127.8,100.0,1.82,1.45,-0.25
95,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.75,0.5,74.0,100.0,1.41,0.15000000000000002,0.625,3.0,26000.0,1.1612306440346258,1.0,1.25,0.0,95.0,100.0,2.18,1.25,1.288125
96,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.75,0.5,74.0,100.0,1.41,0.15000000000000002,0.625,3.0,26000.0,1.1612306440346258,1.0,0.5,0.25,43.2,75.0,1.05,0.1,0.2310416666666667
97,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.75,0.5,74.0,100.0,1.41,0.15000000000000002,0.625,3.0,26000.0,1.1612306440346258,1.0,1.75,0.0,156.0,100.0,2.83,1.6,0.6043750000000001
98,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.75,0.5,74.0,100.0,1.41,0.15000000000000002,0.625,3.0,26000.0,1.1612306440346258,1.0,0.0,0.25,30.8,100.0,0.78,0.25,1.56
99,16.0,14.0,4.0,0.5,0.0,0.0,5350.0,0.8387693559653742,0.5,0.75,0.5,74.0,100.0,1.41,0.15000000000000002,0.625,3.0,26000.0,1.1612306440346258,1.0,1.0,0.5,127.8,100.0,1.82,1.45,-0.25
100,16.0,14.0,5.0,1.0,1.0,0.0,27850.0,0.9184716820155344,1.0,0.0,0.8,0.0,20.0,-0.22,0.0,0.922,4.0,28350.0,1.0815283179844655,1.0,1.2,0.2,96.0,100.0,2.03,1.24,0.968
101,16.0,14.0,5.0,1.0,1.0,0.0,27850.0,0.9184716820155344,1.0,0.0,0.8,0.0,20.0,-0.22,0.0,0.922,4.0,28350.0,1.0815283179844655,1.0,0.6,0.2,72.0,80.0,1.29,0.12000000000000002,0.492
